,stores_website,email_addresses,store_name,busenss_type,commercial_record,business_chanel,maroof_number,rating,number_raters,about_stores
14,http://www.decorezma.com,info@decorezma.com,ديكوريزما للديكور,أخرى, 4030224706, متجر إلكتروني  , 1096,0 ,0 ,"تشكيلة واسعة ومتعددة من الديكورات ( ورق حائط تفصيل - ورق حائط كوري - ورق حائط ثلاثي الأبعاد 3d - فوم - بديل الرخام - استيل - أرضيات باركية - ارضيات اطفال - اعمال جبسيه - اعمال دهانات ) .
            "
15,http://www.bikelane.com.sa,info@bikelane.com.sa,شركة مسار الدراجة التجارية,أخرى, 1010539226, متجر إلكتروني  , 1109,10 ,5 ,"بيع وصيانة الدراجات الهوائية و توفير كامل المستلزمات من ملابس و اكسسوارات وقطع غيار
            "
16,https://www.woody.com.sa/,marketing@woody.com.sa,وودي,أثاث وديكور, 1010256015, متجر إلكتروني  , 1111,8.4 ,5 ,"بيع و تصميم و تركيب الأثاث المنزلي غرف النوم و غرف المعيشه و غرف الطعام و الاكسسوارات المنزليه و الأثاث الفندقي و الاثاث المكتبي
            "
17,http://s3t3.com/vb/,s3t3@s3t3.com,أكاديمية التدريب الشامل,خدمات أكاديمية, 4030296472, متجر إلكتروني  , 1130,10 ,1 ,"أكاديمية التدريب الشامل للتدريب والاستشارات 
والمسجلة بميثاق هيئة الأمم المتحدة والمرخصة من وزارة الثقافة والإعلام السعودية 
والمصدقة من قبل كلية ولدنبرج الدولية للمناهج التدريبية .
www.s3t3.com - www.s3t3.net
الرؤية:
المشاركة في المسؤولية الاجتماعية بالمساهمة بالنهضة التعليمية ومواكبة أحدث التقنيات بمجالات التعليم والتدريب
الرسالة:
  النهوض بالذات واستثمار الطاقات وإطلاق القدرات. 
الأهداف: 
تطوير أدوات وأساليب التدريب المعاصرة، وتوظيفها لخدمة الأداء التدريبي.
خدماتنا: 
إتاحة فرصة التدريب والتعليم المجاني لجميع فئات المجتمع وخاصة ذوي الاحتياجات الخاصة.
أنواع وآلية التدريب: 
1-التدريب عن بعد (من خلال الفصول الافتراضية).
www.s3t3.com
2- التدريب الإلكتروني المستمر (تدريب ذاتي متاح 24 ساعة).
www.s3t3.net
            "
18,http://smart-school.me/,info@s3t3.com,المدرسة الذكية,خدمات أكاديمية, 4030296472, متجر إلكتروني  , 1135,10 ,1 ,قسم التعليم المستمر 
19,https://www.ksbstores.com,mkb@ksbest.com,مؤسسة خالد باشماخ,تسويق إلكتروني, 4030060333, متجر إلكتروني  , 1136,10 ,1 ,"تم تأسيس مؤسسة خالد باشماخ عام 1988م

رقم السجل التجاري 4030060333

النشاط: تجارة الجملة و التجزئة في الكمبيوترات و الإلكترونيات

تقدم مؤسسة خالد باشماخ لعملائها مجموعة شاملة من منتجات الحاسب الآلي و ملحقاتها من كيبلات شبكات و أجهزة ربط. حيث تعتبر المؤسسة رائدة في مجال توريد مستلزمات المشاريع الخاصة و الحكومية من ربط شبكات، تأسيس شبكات، تجهيز معامل، تجهيز مكاتب

تنتهج المؤسسة سياسة تقديم المنتجات ذات الجودة العالية
            "
20,,partito35@gmail.com,بارتيتو,تخطيط مناسبات وحفلات, 4030349570, متجر إلكتروني  , 1143,6 ,2 ,"”تنظيم وتنسيق جميع المهرجانات والاحتفالات“ حفلات ، أعياد الميلاد، مناسبات ( بلونات ، بلاك لايت ، إضاءات )

0567712301 
Snap:thamer2033
BBM:111123

https://youtu.be/V4JaApNM0jg
            "
21,,kmotaibi2010@gmail.com,بيوتي اند كيوت ستور,مستلزمات المرأة, 1010998467, متجر إلكتروني  , 1147,10 ,1 ,"متجر متخصص في توفير جميع مستحضرات المكياج والمستوردة من خارج الممكلة
            "
22,,sa4net@gmail.com,روائع,تسويق إلكتروني, 5850103949, متجر إلكتروني  , 1149,0 ,0 ,"متخصصون في الشوكولاته وتجهيز المناسبات 
            "
23,http://www.e3lni.com,rababmobi@s3t3.com,إعلاني كوم,تسويق إلكتروني, 79ce2e14, متجر إلكتروني  , 1155,0 ,0 ,"إعلاني كوم للدعاية والإعلان أحد فروع
http://www.e3lni.com
الدليل الشامل لجميع الخدمات الحكومية والأنشطة التجارية العامة والخاصة بالعالم العربي.
            "
24,https://owndesign09.com/,own.design.sa@gmail.com,اون ديزاين,تسويق إلكتروني, 2051058071, متجر إلكتروني  , 1156,9.1 ,10 ,الفكرة من منتجاتنا هي توفير أفكار لتصاميم فريدة و ملهمة لحضارتنا و متماشية مع الموضة الحديثة
25,,rababmobi22@hotmail.com,رسالتي كوم,تسويق إلكتروني, 4030296472, متجر إلكتروني  , 1157,0 ,0 ,"خدمة رسائل نصية
            "
26,https://www.almusafirholidays. ...,net@tandt.sa,عطلات المسافر للسفر والسياحة,أخرى, 4032149708, متجر إلكتروني  , 1161,8.9 ,15 ,عطلات المسافر للسفر والسياحة
27,http://www.interbedcover.com,interbedcover@gmail.com,المفارش العالمية,أخرى, 2050077115, متجر إلكتروني  , 1166,0 ,0 ,نحن مؤسسة متخصصه في بيع مفارش السرير مقرنا مدينة الدمام 
28,http://www.mantjathail.com,vbvb.1@hotmail.com,موسسة منتوجات حائل,مطبخ و مخبوزات,, متجر إلكتروني  , 1169,9.9 ,14 ,"منتوجات حائل متخصصون بالمنتجات الحائليه من بهارات وصرار بجميع أنواعه والنعناع الجبلي والمغربي الحائلي  والكشنات المميزة والذرور الحائلي  والكليجا الحائلية كما اننا متميزون بالقهوة الخولانية المميزة والخاصه بِنَا وعلى استعداد لتوفير انواع التمور المميزة وحلوة حائل خاصة
            "
29,http://www.classy-gallery.com,nashmawi@gmail.com,كلاسي غاليري,أخرى, 2050101982, متجر إلكتروني  , 1179,10 ,1 ,"تحف, هدايا , أثاث ومفارش, أواني منزلية
            "
30,http://www.sm4it.com.sa,admin@sm4it.com,المهاد الذكية,حلول إلكترونية, 4030263896, متجر إلكتروني  , 1196,10 ,6 ,مؤسسة تهتم بمجال تصميم وانشاء وبرمجة مواقع الانترنت وتطيقات الأجهزة الذكية والتسويق الالكتروني .
31,,hneen909@hotmail.com,العنود غشام العتيبي,أخرى, 1010996957, متجر إلكتروني  , 1212,0 ,0 ,"ملابس نسائية جاهزة
            "
32,http://www.pink-touch.com,Info@pink-touch.com,متجر بينك تاتش,مستلزمات المرأة, 1010302834, متجر إلكتروني  , 1213,10 ,1 ,"نحن في بينك تاتش نقدم للمرأة مايهمها من ملابس واكسسوارات ومستحضرات التجميل، ونتميز بإمكانية الترجيع في حال عدم رضى العميل عن جودة المنتج أو الخدمة المقدمة له، ولدينا خدمة التوصيل داخل الرياض خلال 24 ساعة فقط كما نوفر خدمة التوصيل لجميع مناطق المملكة خلال 2 - 4 أيام بواسطة شركات الشحن، سهولة مطلقة في عملية الدفع إما عند استلام الطلب أو من خلال التحويل عبر البنوك السعودية، بالإضافة إلى أن المنتجات المعروضة مختارة بعناية من فريق نسائي مختص، وأخيراً يسعدنا الوقوف إلى جانبكم بأكثر من وسيلة إتصال متوفرة بالموقع.
            "
33,http://www.ets.sa,abwabts@gmail.com,تواصل الشبكة للاتصالات,حلول إلكترونية, 06c1d44b, منصة وساطة , 1223,0 ,0 ,"توفير حلول الشبكة الإلكترونية
            "
34,http://www.anydesign.sa,anydesign.sa@gmail.com,وكالة أي تصميم للدعايةوالإعلان,تصميم وطباعة, 1010361692, متجر إلكتروني  , 1224,0 ,0 ,"مرحبا .... welcome مؤسسة سعودية تـعمل في مجال الطباعة الرقمية والأوفست والدروع التذكارية والـهدايا الـدعـائـية بـكافـة أشــكالها وأنـواعـها…
            "
35,,mdlal2006@hotmail.com,هنا للتسويق,تسويق إلكتروني, 535d976d, متجر إلكتروني  , 1236,0 ,0 ,"التسويق الالكتروني  لدينا تسويق جميع الخدمات و التسويق جميع المنتجات
            "
36,http://www.athwaq.com.sa,support@baharathwaq-sa.com,مؤسسة بهار اذواق,مطبخ و مخبوزات, 1010292848, متجر إلكتروني  , 1247,10 ,2 ,أول برانـد سـعودي منذ 11 سنة بريـادة عـدد مـن الخبيرات السعوديات متخصـص فـي صنـع البهـارات النقية العالمية بـكل حرفيـة وإتقان
37,,sarayaflowers@gmail.com,سرايا فلورز,تخطيط مناسبات وحفلات, 4030338116, متجر إلكتروني  , 1253,9.6 ,7 ,"سرايا فلورز هو مشروع متخصص ببيع الورود الطبيعية والصناعية والمحفوظة وتقديمها بأفضل شكل لجميع المناسبات السعيدة
            "
38,http://www.lavande-saudi.com,n.aytah@lavande-saudi.com,لافند,تخطيط مناسبات وحفلات, 4030266619, متجر إلكتروني  , 1271,0 ,0 ,"تنسيق الزهور وتصميم وتجهيز مناسبات الأفراح و غرف المستشفيات والخطوبة و اثاث المناسبات المختلفة
            "
39,https://Alsaleh.store,alsaleh.store@gmail.com,متجر الصالح,أخرى, 3350104782, متجر إلكتروني  , 1294,9.6 ,140 ,"بيع مفارش نوم
            "
40,,ksa00017@yahoo.com,ريدان للكماليات ,أخرى, 1010473823, متجر إلكتروني  , 1304,0 ,0 ,"كماليات 
            "
41,,excellence.roses@gmail.com,ورد طبيعي,تخطيط مناسبات وحفلات, 1010256201, متجر إلكتروني  , 1313,10 ,1 ,"تجارة الورد الطبيعي و تنسيقه
حساب مهتم بالورد وتنسيقه🌹🎁 نوفر الورد الطبيعي بالجمله
مع خدمة التوصيل داخل الرياض/جميع مدن المملكة العربية السعودية
            "
42,https://naturesfood.sa/,nature.food.sa@gmail.com,مؤسسة غذاء الطبيعة التجارية,تسويق إلكتروني, 1010379295, متجر إلكتروني  , 1318,0 ,0 , الوكيل الحصري في الخليج لـ شركة TranzAlpine النيوزيلندية وشركة BREZZO الإيطالية
43,,ceo1.aec@gmail.com,مؤسسة الخبير العربية للمقاولات,أخرى, 4030276200, متجر إلكتروني  , 1322,0 ,0 ,"مقاولات عامة
            "
44,,hajer.e.alawadh@gmail.com,هاجر آرت,تصميم وطباعة, 1010393958, متجر إلكتروني  , 1323,9.9 ,145 ,"هدايا ومطبوعات بالخط العربي ( دمج الصيني بالعربي بأسلوب هاجر ارت ) وفنون مختلفه تخدم الهدايا العربية
            "
45,,ajda.consult@gmail.com,تولة,أخرى, 1010512605, متجر إلكتروني  , 1333,0 ,0 ,"هدايا مميزة للعود ودهن العود مع حفر الأسم على التولات والعلب
            "
46,,tasugcom@gmail.com,مؤسسة التسويق النافذ,تسويق إلكتروني,, متجر إلكتروني  , 1334,0 ,0 ,"التسويق الإلكتروني عبر وسائل التواصل الإجتماعي والبريد الإلكتروني
            "
47,,Glantachocolate@gmail.com,غلانتا شوكولاته,أخرى, 2252041358, متجر إلكتروني  , 1341,0 ,0 ,شوكولاته غلانتا هو متجر قائم في الأحساء
48,https://almashoq.com,almashoq1@hotmail.com,المعشوق للعود,أخرى, 1010893480, متجر إلكتروني  , 1345,10 ,13 ,"متجر الكتروني متخصص في بيع العود و الزعفران و العطور والمسابيح  منذ عام 2005
            "
49,http://www.rodyan.com/audio/,info@rodyan.com,روديان,أخرى, 1010320068, متجر إلكتروني  , 1381,10 ,2 ,"بيع الأجهزه الصوتية وتجهيز الأستديوهات الصوتية وصيانة المعدات الصوتية
            "
50,http://Glamourperfume.com,glamourperfume57@gmail.com,غلامور بيرفيوم,كوافيرة و تجميل, 2053101604, متجر إلكتروني  , 1384,10 ,2 ,"متجر الكتروني لبيع العطور وادوات التجميل المختارة بعناية من الوكلاء المحليين أو المستوردة من أشهر الماركات العالمية بأسعار منافسة جداً -جميع عطورنا إصلية ١٠٠٪‏ ومضمونة ويحق للعميل استعادة المبلغ في حال ثبت خلاف ذلك - خدمة الدفع عند الاستلام
            "
51,http://www.mitra-fast.com,mitrafast1@gmail.com,ميترا فاست,تسويق إلكتروني, 4650211870, منصة وساطة , 1385,0 ,0 ,"توصيل طلبات من مزودي الخدمات للعميل 
            "
52,,baghfar_center@yahoo.com,شركة بأغفار للملابس الجاهزة,مستلزمات المرأة, 4030146961, متجر إلكتروني  , 1392,8.8 ,9 ,"متخصصون بالداخليات النسائية والجوارب بالجملة
            "
53,https://alhomaidhiwatch.com/,Alhomaidhiwatch@gmail.com,الحميضي للساعات,أخرى, 1010113519, متجر إلكتروني  , 1405,5.4 ,7 ,"متخصصون في بيع الساعات والمجوهرات ووكلاء كثير من الماركات العالمية في المملكة العربية السعودية . 
            "
54,http://www.20ayar.com,20ayar@gmail.com,متجر أيار,تصميم وطباعة,, متجر إلكتروني  , 1414,10 ,1 ,مؤسسة بهجة التفاصيل ، متجر أيار
55,http://www.sidewalk.sa,info@sidewalk.sa,أحذية سايدووك,أخرى, 1010303355, متجر إلكتروني  , 1424,0 ,0 ,"سايدووك ماركة متخصصة في الأحذية البرازيلية الرجالية والنسائية والمصنعه من جلد طبيعي وبأعلى معايير الجوده لنضمن جودة المنتج المقدم
            "
56,https://markat.sa,Info@markat.sa,ماركات أمريكية بأقل الأسعار,تسويق إلكتروني, 1131291603, متجر إلكتروني  , 1428,9.7 ,214 ,"ماركات أمريكية بأقل الأسعار
            "
57,http://www.boongifts.com,boongifts@gmail.com,بون قيفتس,مستلزمات المرأة, 1010932878, متجر إلكتروني  , 1440,9.6 ,25 ,"متجر يعتمد تطريز  الأسماء على منسوجات  مختلفة  مما يجعلها أسلوباً مميزاً في تقدم هدايا راقية تستهدف العروسين والمواليد
            "
58,,golden.style1437@gmail.com,الاستايل الذهبي,مستلزمات المرأة, 1132103081, متجر إلكتروني  , 1449,10 ,3 ,"فساتين - تيشرتات - بلايز - جزم - شنط
كل جديد من عالم الموضه الكوريه والعالميه
            "
59,,a1s1a@hotmail.com,متجر ألعاب الذكاء,تسويق إلكتروني, 4031081040, متجر إلكتروني  , 1460,0 ,0 ,"بيع ألعاب تنميه الذكاء والمواهب 
وإكسسوارات الجولات
            "
60,,info@sauditoys.org,متجر سعودي تويز مؤسسة الهوايات المبتكرة,أخرى, 1010421351, متجر إلكتروني  , 1478,0 ,0 ,"متجر متخصص بألعاب الاطفال المتميزه
            "
61,https://glamourbeauty.com,info@glamourbeauty.net,جلامور بيوتي,تسويق إلكتروني, 4030276494, متجر إلكتروني  , 1491,10 ,370 ,متجر سعودي مهتم بمستحضرات التجميل والعناية 
62,http://www.zbeel.sa,info@zbeel.sa,زبيل التجارية,أخرى, 2050094826, متجر إلكتروني  , 1493,10 ,2 ,"خدمات التوصيل للمتاجر الالكترونية
            "
